File_name,DER_MFCC,Precision_MFCC,Recall_MFCC,F1_MFCC,AUROC_MFCC,DER_segmentation,Precision_segmentation,Recall_segmentation,F1_segmentation,AUROC_segmentation,DER_scd,Precision_scd,Recall_scd,F1_scd,AUROC_scd,DER,AUROC
ES2016b.Mix-Headset,0.114938842823767,0.200887902330744,0,0,0.484867166054064,0.652264730358022,0.050653594771242,0.021045485403938,0.029736211031175,0.505220196384546,0.705557955729498,0.050847457627119,0.022403258655805,0.0311027332705,0.486740683451716,0.046752321103382,0.499998157585405
IS1004d.Mix-Headset,0.115346579160299,0.112222222222222,0.077043532727842,0.125307751082435,0.519495712903574,0.827309260396092,0,0,0,0.496820736280074,0.852346127155288,0.190292758089368,0.044320832585681,0.071896376073352,0.498862845801619,0.060417831748822,0.499995181346254
ES2003d.Mix-Headset,0.115581375184254,0.364309514994446,0.060127846584099,0.081274470095855,0.50564191091823,0.651020501118752,0.222094361334868,0.067909922589726,0.104015090272164,0.530873100507438,0.65332339925946,0.064714946070878,0.029556650246306,0.040579710144928,0.490773895969833,0.104048104713916,0.499997401723007
ES2002a.Mix-Headset,0.117345111615137,0.164870375764637,0.080268105280366,0.106507592190889,0.508951950116486,0.973121267283835,0.051056338028169,0.040423752439364,0.045122140967792,0.507841433086999,0.772426923507671,0.305084745762712,0.110398661834402,0.162128966223132,0.536822670498327,0.11959623596261,0.499996267923416
IN1002.Mix-Headset,0.11973798285329,0.125546533416615,0.055370985603544,0.086730268863834,0.52335592619139,0.89816120889582,0,0,0,0.498680087275862,0.443788046900771,0.064714946070878,0.073362445414847,0.068767908309456,0.514186410967133,0.030956199696722,0.499999811035061
ES2005d.Mix-Headset,0.12067506688925,0.193226226660877,0.054191616766467,0.087425535340525,0.502622401326888,0.919529603443889,0.174573055028463,0.03178991015895,0.053785442852967,0.511819173653795,0.823949022949697,0.293528505392912,0.065825846579129,0.107535986452159,0.512390117685518,0.184946321331616,0.499995181345799
ES2008c.Mix-Headset,0.125011464734477,0.19,0.025870901639344,0.042048293089093,0.503875672154941,0.859577491542102,0.096446700507614,0.02427597955707,0.038788703640694,0.50971441850557,0.52549992274886,0.080123266563945,0.044293015332198,0.057048820625343,0.498989919481001,0.069650292374762,0.499998488277347
TS3011d.Mix-Headset,0.125534889632674,0.249211356466877,0.264553686934023,0.27146017699115,0.595666447267574,1.31551043516648,0.245762711864407,0.034925732637495,0.06115992970123,0.516249505718884,1.90592140099701,0.113251155624037,0.059012444801285,0.077593032462391,0.507059073637088,0.065660848043579,0.499997590689517
IN1005.Mix-Headset,0.126736861255771,0.259012420478643,0.024385447394297,0.034511550236571,0.489158819467858,0.973921377723506,0.182468694096601,0.033041788143829,0.055951727921009,0.51443278214546,0.819685841831382,0.206471494607088,0.086815678652413,0.122234891676169,0.522842389282281,0.060534554730983,0.499998157584013
IS1000a.Mix-Headset,0.131365095263026,0.184589124603755,0.065847833503924,0.082434596903364,0.495938298070487,0.983936622964101,0.080706179066835,0.053496795764837,0.064343163538874,0.516709564535314,0.539485548658652,0.083204930662558,0.030091947617721,0.044198895027624,0.490799845039504,0.088002749674255,0.499997732409378
IS1002c.Mix-Headset,0.1380060949064,0.070901736854628,0.090303738317757,0.133702326385886,0.516881078083828,0.86835648621827,0.181395348837209,0.023607748184019,0.041778253883235,0.509349430060771,0.846145661541736,0.112480739599384,0.029459241323648,0.046690118324273,0.489873106615304,0.083299160982748,0.499996173426726
IS1004b.Mix-Headset,0.143521235883831,0.124375,0.018690120936077,0.029130966952264,0.489120719200294,0.893543646038571,0.174004192872117,0.064911366006257,0.094550977786216,0.527017699933566,0.964357002707388,0.134052388289676,0.045359749739312,0.06778340475263,0.499545638669928,0.094746300427083,0.499996976543267
TS3012b.Mix-Headset,0.144459418336739,0.101428571428571,0.049025398700532,0.083291520321124,0.513985872921625,0.723296685141327,0.14507299270073,0.039259259259259,0.061795569374271,0.515310303757928,0.781207342261357,0.204930662557781,0.065679012345679,0.099476439790576,0.511410044816471,0.045737693241503,0.499996740335094
IS1001a.Mix-Headset,0.145926235089955,0.257409257409257,0.149366324683162,0.216914986853637,0.556434105008119,0.756585937735077,0.223719676549865,0.128020565552699,0.162851536952256,0.556056385919244,0.62773227607074,0.14175654853621,0.047300771208226,0.070932922127988,0.500670889750324,0.122791818263824,0.499996787578132
ES2014b.Mix-Headset,0.146400076900894,0.143894689060372,0.097830802603037,0.109825885790819,0.512593668183288,0.864329084089773,0.110486891385768,0.084739676840216,0.095915464336517,0.533712303174826,0.785358900899011,0.061633281972265,0.028725314183124,0.039186872397747,0.490333301030956,0.119642787883488,0.499997874137608
ES2008d.Mix-Headset,0.14694551458448,0.099459009571369,0.080823143453624,0.116433941997852,0.515444264127645,0.907063087003603,0.067415730337079,0.007745933384973,0.013895321908291,0.501963041524735,0.739515929859225,0.110939907550077,0.03718048024787,0.055695223361052,0.494802311364041,0.069069200345906,0.499998252065232
EN2006a.Mix-Headset,0.156725805751963,0.056472632493484,0.073954422422073,0.118843833309948,0.510244510852594,0.955824175824176,0.240985576923077,0.059958133971292,0.096024904214559,0.524011837140992,0.855541386940705,0.281972265023112,0.054724880382775,0.091660405709993,0.505628379280049,0.13440137402223,0.49999352786401
TS3005d.Mix-Headset,0.158778465736174,0.43956043956044,0.048275113907572,0.077250238694558,0.500183145113241,0.873268443204916,0.257660167130919,0.068190195355695,0.107840279801807,0.529117975630971,0.941111641305228,0.293528505392912,0.070217471433837,0.113325401546698,0.514913166849368,0.091361013484881,0.499995086861919
TS3005b.Mix-Headset,0.163802174675553,0,0.044749269170227,0.06581776087316,0.506290782726459,0.858852676997709,0.061053984575836,0.036979369404438,0.046060606060606,0.511845574358144,0.589127426676098,0.096302003081664,0.048657065005839,0.064649599172485,0.501382523113248,0.162666407002076,0.499997874137408
ES2009c.Mix-Headset,0.165253684622408,0.278736937755566,0,0,0.48607729939023,0.729304500844383,0.164383561643836,0.016794961511547,0.030476190476191,0.507284930827815,0.72352354846748,0.093220338983051,0.042337298810357,0.05822906641001,0.497881086586137,0.084759020496836,0.499998393791494
ES2007b.Mix-Headset,0.165902645999019,0.17564870259481,0.137414116177389,0.209374256483464,0.555220184350835,0.804953415093631,0.092169092169092,0.035009212950777,0.05074399084319,0.511479789749393,0.807456298471157,0.25115562403698,0.085812055804159,0.127918383362762,0.522930688814533,0.073174644027493,0.499996882061422
ES2013c.Mix-Headset,0.166397896147071,0.107096774193548,0.093710691823899,0.080725992144115,0.503292204457242,0.753285697519756,0.044611133043822,0.059693608029583,0.051061906913692,0.518908753157375,0.78743839251864,0.073959938366718,0.050713153724247,0.060169225947979,0.502449121457336,0.161533747757309,0.499998393795743
ES2009d.Mix-Headset,0.17000748931671,0.167114867460622,0.044786814761734,0.078333072223093,0.515898523133613,0.802860255181659,0.376114081996435,0.062481492448919,0.107160995429152,0.529637286416325,0.823567414959855,0.134052388289676,0.051909307875895,0.074838709677419,0.503272327586896,0.068620070691397,0.499998015859893
TS3008b.Mix-Headset,0.170304709141274,0.226061615320566,0.085014409221902,0.129360175403628,0.520818159374861,0.757874105233926,0.247422680412371,0.062635928664637,0.09996528982992,0.527259327218955,0.838727579875874,0.119414483821263,0.033710308829926,0.05257801899593,0.49256804379493,0.044413629429871,0.499996173430703
ES2016a.Mix-Headset,0.172470113195563,0.249791840133222,0.056930264751687,0.083502538071066,0.50748031439427,0.691978549123666,0.016282225237449,0.007292616226071,0.010073452256034,0.497008633587973,0.609962207459919,0.064714946070878,0.025524156791249,0.036609283068207,0.488323717819088,0.079395682832252,0.499997212755038
